1,UUS5BU1195468691292,BUSUB-202601060200,211: RETURN_OFFICE_FROM_TRANSIT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
2,UUS5C23822517219516,BUSUB-202601060200,211: RETURN_OFFICE_FROM_TRANSIT,450004 - BUF Route04,BUF Warehouse,J,N/A,004
3,UUS5BL1504385091728,BUSUB-202601060200,202: IN_TRANSIT,450009 - BUF Route09,BUF Warehouse,J,N/A,009
4,UUS5C30506530727803,BUSUB-202601060200,211: RETURN_OFFICE_FROM_TRANSIT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
5,UUS5BM2485405869220,BUSUB-202601060200,211: RETURN_OFFICE_FROM_TRANSIT,450004 - BUF Route04,BUF Warehouse,J,N/A,004
6,UUS5BH0528355191616,BUSUB-202601030804,203: DELIVERED,450003 - BUF Route03,BUF Warehouse,BUF,N/A,003
7,UUS5BS1198456470232,BUSUB-202601030804,207: PARCEL_LOST,450996 - Customer reject,BUF Warehouse,BUF,N/A,009
8,UUS5BT0851456844055,BUSUB-202601030804,207: PARCEL_LOST,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
9,UUS5C31934531532492,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
10,UUS5C11487503892846,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
11,4C004229582US,BUSUB-202601080200,202: IN_TRANSIT,450002 - BUF Route02,BUF Warehouse,BUF,N/A,002
12,4C004216807US,BUSUB-202601090807,195: GATEWAY_TRANSIT_OUT,450992 - Driver Parcel Unscanned,JFK Warehouse,BUF,N/A,Suspected Apt
13,UUS5C81261590802614,BUSUB-202601090807,195: GATEWAY_TRANSIT_OUT,450003 - BUF Route03,BUF Warehouse,BUF,N/A,003
14,20260111284939387,BUSUB-202601090807,199: GATEWAY_TRANSIT,450004 - BUF Route04,BUF Warehouse,BUF,BS27,BS27
15,UUS5C61264568951310,BUSUB-202601090807,195: GATEWAY_TRANSIT_OUT,450006 - BUF Route06,BUF Warehouse,BUF,N/A,006
16,UUS5C11466501579753,BUSUB-202601040744,202: IN_TRANSIT,450992 - Driver Parcel Unscanned,JFK Warehouse,BUF,N/A,008
17,UUS5C22762521302369,BUSUB-202601080200,202: IN_TRANSIT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
18,UUS5C41489547727702,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450009 - BUF Route09,BUF Warehouse,BUF,N/A,009
19,UUS5C50508559624956,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450007 - BUF Route07,BUF Warehouse,BUF,N/A,007
20,UUS5C11193508367827,N/A,NO_STATUS,450007 - BUF Route07,BUF Warehouse,BUF,N/A,007
21,UUS5C50562563567539,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450006 - BUF Route06,BUF Warehouse,BUF,N/A,006
22,UUS5C81503584795545,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450006 - BUF Route06,BUF Warehouse,BUF,N/A,006
23,UUS5C50562563567539,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450006 - BUF Route06,BUF Warehouse,BUF,N/A,006
24,UUS5C70567577049498,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450006 - BUF Route06,BUF Warehouse,BUF,N/A,006
25,UUS5CA2231619616480,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450002 - BUF Route02,BUF Warehouse,BUF,N/A,002
26,UUS5CA2235610725235,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,7246 - R-Backup JFK,BUF Warehouse,BUF,N/A,42
1,UUS59U1786930059414,BUSUB-202601060200,233: RETURN_INITIATED,450991 - Out of Range,BUF Warehouse,3.ORD,AO49,Suspected Apt
2,UUS59N1788889602381,BUSUB-202601060200,233: RETURN_INITIATED,450991 - Out of Range,BUF Warehouse,3.ORD,AO96,Suspected Apt
3,GV25US00U004948169,BUSUB-202601060200,233: RETURN_INITIATED,450991 - Out of Range,BUF Warehouse,3.ORD,AK38,Suspected Apt
4,UUS5C11193515211495,BUSUB-202601040744,207: PARCEL_LOST,450996 - Customer reject,BUF Warehouse,BUF,N/A,007
5,UUSC000015043673,BUSUB-202601080200,195: GATEWAY_TRANSIT_OUT,450007 - BUF Route07,BUF Warehouse,BUF,N/A,007
6,UUS5BW1191498374814,BUSUB-202601030804,207: PARCEL_LOST,450996 - Customer reject,BUF Warehouse,BUF,N/A,009
7,UUS5BN0450414349633,BUSUB-202601080200,202: IN_TRANSIT,7246 - R-Backup JFK,BUF Warehouse,BUF,N/A,85
